N,S_wide,S_narrow,err_wide,err_narrow
63600,0.946991,0.945303,0.00261921,0.000831628
64100,0.950828,0.945983,0.00668145,0.00155175
64600,0.969354,0.945472,0.0262959,0.00101105
65100,0.949215,0.944662,0.00497377,0.000153383
65600,0.956059,0.941635,0.0122203,0.00305159
66100,0.947357,0.945008,0.00300631,0.000519184
66600,0.935865,0.944369,0.00916036,0.0001565
67100,0.929181,0.945808,0.0162369,0.00136716
67600,0.944744,0.943713,0.000240399,0.000851407
68100,0.95394,0.945576,0.0099763,0.00112139
68600,0.948829,0.945973,0.00456557,0.00154137
69100,0.957018,0.94233,0.0132355,0.00231571
69600,0.917177,0.945456,0.0289458,0.000994151
70100,0.94087,0.947949,0.00386168,0.00363378
70600,0.952108,0.940333,0.00803706,0.00443012
71100,0.945003,0.943231,0.00051388,0.00136135
71600,0.945464,0.93867,0.00100258,0.00619099
72100,0.956302,0.945544,0.0124773,0.00108754
72600,0.936994,0.944904,0.00796481,0.000409093
73100,0.938166,0.940133,0.00672409,0.00464132
73600,0.940643,0.943461,0.00410169,0.00111793
74100,0.964341,0.944332,0.0209887,0.000196081
74600,0.928425,0.94695,0.0170376,0.00257615
75100,0.943604,0.941445,0.000966989,0.00325293
75600,0.939292,0.942312,0.00553204,0.00233524
76100,0.935931,0.94476,0.00909029,0.000257272
76600,0.93236,0.944827,0.0128708,0.000328038
77100,0.964017,0.943953,0.0206455,0.000597688
77600,0.946655,0.947423,0.00226382,0.00307617
78100,0.94408,0.944302,0.000462446,0.000227639
78600,0.961329,0.944402,0.0177991,0.000121914
79100,0.929933,0.944185,0.0154412,0.000352148
79600,0.929832,0.940452,0.0155479,0.00430371
80100,0.935194,0.945022,0.00987061,0.000534307
80600,0.93277,0.942788,0.012437,0.00183027
81100,0.939247,0.945885,0.00557972,0.00144786
81600,0.95744,0.943244,0.0136817,0.00134746
82100,0.934557,0.94426,0.0105457,0.000272242
82600,0.940199,0.945596,0.00457204,0.00114245
83100,0.957589,0.945141,0.0138401,0.000660877
83600,0.939884,0.946097,0.00490534,0.00167313
84100,0.948515,0.942643,0.00423283,0.00198461
84600,0.966583,0.943927,0.0233615,0.000624532
85100,0.944224,0.944991,0.000310517,0.000501845
85600,0.952792,0.944144,0.00876093,0.000394816
86100,0.947372,0.94338,0.00302241,0.00120421
86600,0.937861,0.943635,0.00704766,0.000934509
87100,0.944867,0.943944,0.000369939,0.000607128
87600,0.948241,0.944806,0.00394278,0.000305712
88100,0.9337,0.942579,0.0114523,0.00205156
88600,0.953559,0.941352,0.00957336,0.00335156
89100,0.942971,0.943729,0.00163722,0.000834532
89600,0.955829,0.942969,0.0119765,0.00163939
90100,0.939842,0.943812,0.00494935,0.000746154
90600,0.942704,0.943929,0.00191991,0.000622356
91100,0.945747,0.943537,0.00130225,0.00103742
91600,0.943981,0.942863,0.000567479,0.00175137
92100,0.94044,0.944354,0.00431686,0.000172811
92600,0.948591,0.943817,0.0043128,0.000740793
93100,0.946838,0.942052,0.00245702,0.00261046
93600,0.91602,0.94598,0.0301707,0.00154899
94100,0.946384,0.943185,0.00197682,0.00140997
94600,0.961012,0.946802,0.0174633,0.00241937
95100,0.936331,0.945386,0.00866745,0.000920311
95600,0.944146,0.94528,0.000393515,0.000807424
96100,0.938829,0.943067,0.00602282,0.00153525
96600,0.940511,0.942663,0.00424154,0.00196306
97100,0.958797,0.946048,0.0151185,0.00162062
97600,0.959364,0.941701,0.0157186,0.00298181
98100,0.934752,0.945082,0.0103386,0.000597515
98600,0.945295,0.946577,0.000823831,0.0021809
99100,0.930617,0.943088,0.0147163,0.00151336
99600,0.957377,0.944905,0.0136148,0.000410191
