array_type;algorithm;size;average_time_microseconds;average_char_comparisons;sorted
same_prefix;string_merge_sort;500;5860;58511;yes
random;msd_radix_sort;500;1174;2076;yes
reverse_sorted;msd_radix_sort;500;534;2426;yes
almost_sorted;msd_radix_sort;500;495;2338;yes
same_prefix;msd_radix_sort;500;1513;16086;yes
random;msd_radix_quick_sort;500;137;2328;yes
reverse_sorted;msd_radix_quick_sort;500;634;9019;yes
almost_sorted;msd_radix_quick_sort;500;546;4181;yes
same_prefix;msd_radix_quick_sort;500;532;16296;yes
random;standard_quick_sort;600;6923;102845;yes
reverse_sorted;standard_quick_sort;600;18467;321254;yes
almost_sorted;standard_quick_sort;600;7402;103320;yes
same_prefix;standard_quick_sort;600;8245;216745;yes
random;standard_merge_sort;600;1220;6091;yes
reverse_sorted;standard_merge_sort;600;980;4416;yes
almost_sorted;standard_merge_sort;600;954;6578;yes
same_prefix;standard_merge_sort;600;3745;73141;yes
random;string_quick_sort;600;352;5528;yes
reverse_sorted;string_quick_sort;600;939;11013;yes
almost_sorted;string_quick_sort;600;597;8420;yes
same_prefix;string_quick_sort;600;453;13923;yes
random;string_merge_sort;600;842;6091;yes
reverse_sorted;string_merge_sort;600;746;4416;yes
almost_sorted;string_merge_sort;600;1013;6578;yes
same_prefix;string_merge_sort;600;3031;73141;yes
random;msd_radix_sort;600;353;2516;yes
reverse_sorted;msd_radix_sort;600;449;2914;yes
almost_sorted;msd_radix_sort;600;429;2842;yes
same_prefix;msd_radix_sort;600;861;19314;yes
random;msd_radix_quick_sort;600;175;2936;yes
reverse_sorted;msd_radix_quick_sort;600;684;10901;yes
almost_sorted;msd_radix_quick_sort;600;304;5023;yes
same_prefix;msd_radix_quick_sort;600;650;19700;yes
random;standard_quick_sort;700;3982;120561;yes
reverse_sorted;standard_quick_sort;700;10957;407745;yes
almost_sorted;standard_quick_sort;700;3163;122134;yes
same_prefix;standard_quick_sort;700;7077;264976;yes
random;standard_merge_sort;700;1033;7402;yes
reverse_sorted;standard_merge_sort;700;923;5185;yes
almost_sorted;standard_merge_sort;700;993;7880;yes
same_prefix;standard_merge_sort;700;3008;88079;yes
random;string_quick_sort;700;437;6963;yes
reverse_sorted;string_quick_sort;700;912;15202;yes
almost_sorted;string_quick_sort;700;609;10741;yes
same_prefix;string_quick_sort;700;572;16601;yes
random;string_merge_sort;700;998;7402;yes
reverse_sorted;string_merge_sort;700;937;5185;yes
almost_sorted;string_merge_sort;700;956;7880;yes
same_prefix;string_merge_sort;700;2989;88079;yes
random;msd_radix_sort;700;497;2976;yes
reverse_sorted;msd_radix_sort;700;537;3402;yes
almost_sorted;msd_radix_sort;700;542;3310;yes
same_prefix;msd_radix_sort;700;972;22562;yes
random;msd_radix_quick_sort;700;214;3595;yes
reverse_sorted;msd_radix_quick_sort;700;792;12756;yes
almost_sorted;msd_radix_quick_sort;700;347;5964;yes
same_prefix;msd_radix_quick_sort;700;773;23135;yes
random;standard_quick_sort;800;3626;137216;yes
reverse_sorted;standard_quick_sort;800;17391;505964;yes
almost_sorted;standard_quick_sort;800;3757;139272;yes
same_prefix;standard_quick_sort;800;7156;291089;yes
random;standard_merge_sort;800;1119;8747;yes
reverse_sorted;standard_merge_sort;800;1002;6181;yes
almost_sorted;standard_merge_sort;800;1061;9121;yes
same_prefix;standard_merge_sort;800;3287;102630;yes
random;string_quick_sort;800;508;8371;yes
reverse_sorted;string_quick_sort;800;1089;18439;yes
almost_sorted;string_quick_sort;800;755;13783;yes
same_prefix;string_quick_sort;800;591;18852;yes
random;string_merge_sort;800;1097;8747;yes
reverse_sorted;string_merge_sort;800;1016;6181;yes
almost_sorted;string_merge_sort;800;1077;9121;yes
same_prefix;string_merge_sort;800;3275;102630;yes
random;msd_radix_sort;800;424;3410;yes
reverse_sorted;msd_radix_sort;800;561;3904;yes
almost_sorted;msd_radix_sort;800;543;3788;yes
same_prefix;msd_radix_sort;800;1005;25812;yes
random;msd_radix_quick_sort;800;243;4240;yes
reverse_sorted;msd_radix_quick_sort;800;837;14892;yes
almost_sorted;msd_radix_quick_sort;800;381;6764;yes
same_prefix;msd_radix_quick_sort;800;815;26584;yes
random;standard_quick_sort;900;3915;150184;yes
reverse_sorted;standard_quick_sort;900;14942;613282;yes
almost_sorted;standard_quick_sort;900;4378;171056;yes
same_prefix;standard_quick_sort;900;8647;332753;yes
random;standard_merge_sort;900;1320;10145;yes
reverse_sorted;standard_merge_sort;900;1197;6975;yes
almost_sorted;standard_merge_sort;900;1248;10464;yes
same_prefix;standard_merge_sort;900;3882;118167;yes
random;string_quick_sort;900;562;8767;yes
reverse_sorted;string_quick_sort;900;1238;20366;yes
almost_sorted;string_quick_sort;900;911;15640;yes
same_prefix;string_quick_sort;900;681;21117;yes
random;string_merge_sort;900;1281;10145;yes
reverse_sorted;string_merge_sort;900;1228;6975;yes
almost_sorted;string_merge_sort;900;1280;10464;yes
same_prefix;string_merge_sort;900;4323;118167;yes
random;msd_radix_sort;900;552;3868;yes
reverse_sorted;msd_radix_sort;900;679;4376;yes
almost_sorted;msd_radix_sort;900;685;4288;yes
same_prefix;msd_radix_sort;900;1214;29048;yes
random;msd_radix_quick_sort;900;333;4956;yes
reverse_sorted;msd_radix_quick_sort;900;1072;16618;yes
almost_sorted;msd_radix_quick_sort;900;555;7646;yes
same_prefix;msd_radix_quick_sort;900;1061;30053;yes
random;standard_quick_sort;1000;4899;165370;yes
reverse_sorted;standard_quick_sort;1000;19115;730971;yes
almost_sorted;standard_quick_sort;1000;5042;178139;yes
same_prefix;standard_quick_sort;1000;9870;373817;yes
random;standard_merge_sort;1000;1582;11513;yes
reverse_sorted;standard_merge_sort;1000;1405;8017;yes
almost_sorted;standard_merge_sort;1000;1496;11572;yes
same_prefix;standard_merge_sort;1000;4627;133019;yes
random;string_quick_sort;1000;728;10043;yes
reverse_sorted;string_quick_sort;1000;1551;24090;yes
almost_sorted;string_quick_sort;1000;1042;16891;yes
same_prefix;string_quick_sort;1000;889;24230;yes
random;string_merge_sort;1000;1584;11513;yes
reverse_sorted;string_merge_sort;1000;1490;8017;yes
almost_sorted;string_merge_sort;1000;1539;11572;yes
same_prefix;string_merge_sort;1000;4774;133019;yes
random;msd_radix_sort;1000;677;4316;yes
reverse_sorted;msd_radix_sort;1000;1043;4854;yes
almost_sorted;msd_radix_sort;1000;749;4746;yes
same_prefix;msd_radix_sort;1000;1390;32286;yes
random;msd_radix_quick_sort;1000;413;5679;yes
reverse_sorted;msd_radix_quick_sort;1000;1362;18410;yes
almost_sorted;msd_radix_quick_sort;1000;572;8567;yes
same_prefix;msd_radix_quick_sort;1000;1313;33525;yes
random;standard_quick_sort;1100;6040;186638;yes
reverse_sorted;standard_quick_sort;1100;23766;859878;yes
almost_sorted;standard_quick_sort;1100;5129;185596;yes
same_prefix;standard_quick_sort;1100;11167;406680;yes
random;standard_merge_sort;1100;1867;12965;yes
reverse_sorted;standard_merge_sort;1100;1660;8742;yes
almost_sorted;standard_merge_sort;1100;2497;13209;yes
same_prefix;standard_merge_sort;1100;5706;149165;yes
random;string_quick_sort;1100;836;11169;yes
reverse_sorted;string_quick_sort;1100;2558;28140;yes
almost_sorted;string_quick_sort;1100;1204;15913;yes
same_prefix;string_quick_sort;1100;976;26388;yes
random;string_merge_sort;1100;1781;12965;yes
reverse_sorted;string_merge_sort;1100;1548;8742;yes
almost_sorted;string_merge_sort;1100;1753;13209;yes
same_prefix;string_merge_sort;1100;5373;149165;yes
random;msd_radix_sort;1100;695;4792;yes
reverse_sorted;msd_radix_sort;1100;790;5348;yes
almost_sorted;msd_radix_sort;1100;751;5208;yes
same_prefix;msd_radix_sort;1100;1481;35576;yes
random;msd_radix_quick_sort;1100;377;6406;yes
reverse_sorted;msd_radix_quick_sort;1100;1152;20252;yes
almost_sorted;msd_radix_quick_sort;1100;553;9568;yes
same_prefix;msd_radix_quick_sort;1100;1198;37063;yes
random;standard_quick_sort;1200;5239;203670;yes
reverse_sorted;standard_quick_sort;1200;24076;997174;yes
almost_sorted;standard_quick_sort;1200;5271;202499;yes
same_prefix;standard_quick_sort;1200;11618;453851;yes
random;standard_merge_sort;1200;1997;14505;yes
reverse_sorted;standard_merge_sort;1200;1634;9478;yes
almost_sorted;standard_merge_sort;1200;1788;14794;yes
same_prefix;standard_merge_sort;1200;5513;165605;yes
random;string_quick_sort;1200;879;12592;yes
reverse_sorted;string_quick_sort;1200;2000;32617;yes
almost_sorted;string_quick_sort;1200;933;15047;yes
same_prefix;string_quick_sort;1200;1012;29303;yes
random;string_merge_sort;1200;1873;14505;yes
reverse_sorted;string_merge_sort;1200;1652;9478;yes
almost_sorted;string_merge_sort;1200;1895;14794;yes
same_prefix;string_merge_sort;1200;5795;165605;yes
random;msd_radix_sort;1200;721;5274;yes
reverse_sorted;msd_radix_sort;1200;906;5836;yes
almost_sorted;msd_radix_sort;1200;872;5708;yes
same_prefix;msd_radix_sort;1200;1670;38822;yes
random;msd_radix_quick_sort;1200;443;7093;yes
reverse_sorted;msd_radix_quick_sort;1200;1333;22018;yes
almost_sorted;msd_radix_quick_sort;1200;664;10321;yes
same_prefix;msd_radix_quick_sort;1200;1426;40552;yes
random;standard_quick_sort;1300;6272;228277;yes
reverse_sorted;standard_quick_sort;1300;28156;1146550;yes
almost_sorted;standard_quick_sort;1300;5893;235805;yes
same_prefix;standard_quick_sort;1300;12254;509097;yes
random;standard_merge_sort;1300;1915;16074;yes
reverse_sorted;standard_merge_sort;1300;1712;10220;yes
almost_sorted;standard_merge_sort;1300;1857;16555;yes
same_prefix;standard_merge_sort;1300;5710;181582;yes
random;string_quick_sort;1300;852;14172;yes
reverse_sorted;string_quick_sort;1300;2168;36141;yes
almost_sorted;string_quick_sort;1300;1054;16697;yes
same_prefix;string_quick_sort;1300;1234;32420;yes
random;string_merge_sort;1300;2218;16074;yes
reverse_sorted;string_merge_sort;1300;1919;10220;yes
almost_sorted;string_merge_sort;1300;1958;16555;yes
same_prefix;string_merge_sort;1300;6078;181582;yes
random;msd_radix_sort;1300;713;5752;yes
reverse_sorted;msd_radix_sort;1300;921;6320;yes
almost_sorted;msd_radix_sort;1300;883;6204;yes
same_prefix;msd_radix_sort;1300;1693;42122;yes
random;msd_radix_quick_sort;1300;476;7844;yes
reverse_sorted;msd_radix_quick_sort;1300;1350;23602;yes
almost_sorted;msd_radix_quick_sort;1300;635;11159;yes
same_prefix;msd_radix_quick_sort;1300;1443;44144;yes
random;standard_quick_sort;1400;6321;238220;yes
reverse_sorted;standard_quick_sort;1400;32336;1305255;yes
almost_sorted;standard_quick_sort;1400;6368;240106;yes
same_prefix;standard_quick_sort;1400;14328;536916;yes
random;standard_merge_sort;1400;2668;17540;yes
reverse_sorted;standard_merge_sort;1400;3341;11059;yes
almost_sorted;standard_merge_sort;1400;2578;17725;yes
same_prefix;standard_merge_sort;1400;7931;198287;yes
random;string_quick_sort;1400;1270;14684;yes
reverse_sorted;string_quick_sort;1400;3685;40756;yes
almost_sorted;string_quick_sort;1400;1184;18325;yes
same_prefix;string_quick_sort;1400;1341;34556;yes
random;string_merge_sort;1400;2399;17540;yes
reverse_sorted;string_merge_sort;1400;2055;11059;yes
almost_sorted;string_merge_sort;1400;2401;17725;yes
same_prefix;string_merge_sort;1400;8711;198287;yes
random;msd_radix_sort;1400;785;6234;yes
reverse_sorted;msd_radix_sort;1400;1051;6812;yes
almost_sorted;msd_radix_sort;1400;1029;6684;yes
same_prefix;msd_radix_sort;1400;1822;45396;yes
random;msd_radix_quick_sort;1400;505;8541;yes
reverse_sorted;msd_radix_quick_sort;1400;1480;25219;yes
almost_sorted;msd_radix_quick_sort;1400;694;11949;yes
same_prefix;msd_radix_quick_sort;1400;1544;47681;yes
