array_type;algorithm;size;average_time_microseconds;average_char_comparisons;sorted
reverse_sorted;standard_quick_sort;2300;73431;3177895;yes
almost_sorted;standard_quick_sort;2300;10261;408720;yes
same_prefix;standard_quick_sort;2300;22644;941174;yes
random;standard_merge_sort;2300;3678;32314;yes
reverse_sorted;standard_merge_sort;2300;3229;19345;yes
almost_sorted;standard_merge_sort;2300;3506;31084;yes
same_prefix;standard_merge_sort;2300;11299;351174;yes
random;string_quick_sort;2300;1549;24820;yes
reverse_sorted;string_quick_sort;2300;5500;93633;yes
almost_sorted;string_quick_sort;2300;2025;35027;yes
same_prefix;string_quick_sort;2300;1968;58192;yes
random;string_merge_sort;2300;3681;32314;yes
reverse_sorted;string_merge_sort;2300;3235;19345;yes
almost_sorted;string_merge_sort;2300;3505;31084;yes
same_prefix;string_merge_sort;2300;11289;351174;yes
random;msd_radix_sort;2300;1475;10836;yes
reverse_sorted;msd_radix_sort;2300;1597;11166;yes
almost_sorted;msd_radix_sort;2300;1578;11108;yes
same_prefix;msd_radix_sort;2300;3136;75138;yes
random;msd_radix_quick_sort;2300;959;16141;yes
reverse_sorted;msd_radix_quick_sort;2300;2388;42388;yes
almost_sorted;msd_radix_quick_sort;2300;1134;19592;yes
same_prefix;msd_radix_quick_sort;2300;2659;80381;yes
random;standard_quick_sort;2400;10972;418013;yes
reverse_sorted;standard_quick_sort;2400;81603;3434098;yes
almost_sorted;standard_quick_sort;2400;10862;416378;yes
same_prefix;standard_quick_sort;2400;23618;965072;yes
random;standard_merge_sort;2400;3842;34000;yes
reverse_sorted;standard_merge_sort;2400;3367;20171;yes
almost_sorted;standard_merge_sort;2400;3670;32293;yes
same_prefix;standard_merge_sort;2400;11624;369533;yes
random;string_quick_sort;2400;1719;27451;yes
reverse_sorted;string_quick_sort;2400;5997;101584;yes
almost_sorted;string_quick_sort;2400;2118;36769;yes
same_prefix;string_quick_sort;2400;2179;62275;yes
random;string_merge_sort;2400;3857;34000;yes
reverse_sorted;string_merge_sort;2400;3409;20171;yes
almost_sorted;string_merge_sort;2400;3679;32293;yes
same_prefix;string_merge_sort;2400;11889;369533;yes
random;msd_radix_sort;2400;1547;11354;yes
reverse_sorted;msd_radix_sort;2400;1662;11640;yes
almost_sorted;msd_radix_sort;2400;1633;11598;yes
same_prefix;msd_radix_sort;2400;3242;78448;yes
random;msd_radix_quick_sort;2400;1021;17071;yes
reverse_sorted;msd_radix_quick_sort;2400;2481;44069;yes
almost_sorted;msd_radix_quick_sort;2400;1187;20401;yes
same_prefix;msd_radix_quick_sort;2400;2761;83851;yes
random;standard_quick_sort;2500;11617;434899;yes
reverse_sorted;standard_quick_sort;2500;88047;3699928;yes
almost_sorted;standard_quick_sort;2500;11475;435401;yes
same_prefix;standard_quick_sort;2500;25383;1020687;yes
random;standard_merge_sort;2500;4058;35745;yes
reverse_sorted;standard_merge_sort;2500;3533;21081;yes
almost_sorted;standard_merge_sort;2500;3842;34175;yes
same_prefix;standard_merge_sort;2500;12235;386502;yes
random;string_quick_sort;2500;1784;28091;yes
reverse_sorted;string_quick_sort;2500;6519;108312;yes
almost_sorted;string_quick_sort;2500;2188;37748;yes
same_prefix;string_quick_sort;2500;2252;64348;yes
random;string_merge_sort;2500;4075;35745;yes
reverse_sorted;string_merge_sort;2500;3561;21081;yes
almost_sorted;string_merge_sort;2500;3863;34175;yes
same_prefix;string_merge_sort;2500;12448;386502;yes
random;msd_radix_sort;2500;1662;11932;yes
reverse_sorted;msd_radix_sort;2500;1719;12112;yes
almost_sorted;msd_radix_sort;2500;1710;12080;yes
same_prefix;msd_radix_sort;2500;3482;81810;yes
random;msd_radix_quick_sort;2500;1089;17740;yes
reverse_sorted;msd_radix_quick_sort;2500;2646;46179;yes
almost_sorted;msd_radix_quick_sort;2500;1254;21131;yes
same_prefix;msd_radix_quick_sort;2500;2945;87473;yes
random;standard_quick_sort;2600;11665;446870;yes
reverse_sorted;standard_quick_sort;2600;94321;3977008;yes
almost_sorted;standard_quick_sort;2600;11423;447550;yes
same_prefix;standard_quick_sort;2600;26496;1068826;yes
random;standard_merge_sort;2600;4245;37498;yes
reverse_sorted;standard_merge_sort;2600;3701;21819;yes
almost_sorted;standard_merge_sort;2600;4015;35910;yes
same_prefix;standard_merge_sort;2600;12674;404154;yes
random;string_quick_sort;2600;1896;30362;yes
reverse_sorted;string_quick_sort;2600;7261;116126;yes
almost_sorted;string_quick_sort;2600;2456;39951;yes
same_prefix;string_quick_sort;2600;2472;65954;yes
random;string_merge_sort;2600;4648;37498;yes
reverse_sorted;string_merge_sort;2600;4057;21819;yes
almost_sorted;string_merge_sort;2600;4424;35910;yes
same_prefix;string_merge_sort;2600;15038;404154;yes
random;msd_radix_sort;2600;1761;12474;yes
reverse_sorted;msd_radix_sort;2600;1795;12596;yes
almost_sorted;msd_radix_sort;2600;1763;12568;yes
same_prefix;msd_radix_sort;2600;3646;85144;yes
random;msd_radix_quick_sort;2600;1121;18744;yes
reverse_sorted;msd_radix_quick_sort;2600;2727;48338;yes
almost_sorted;msd_radix_quick_sort;2600;1280;22038;yes
same_prefix;msd_radix_quick_sort;2600;3057;91207;yes
random;standard_quick_sort;2700;12342;472868;yes
reverse_sorted;standard_quick_sort;2700;98738;4265341;yes
almost_sorted;standard_quick_sort;2700;11021;441436;yes
same_prefix;standard_quick_sort;2700;25942;1078716;yes
random;standard_merge_sort;2700;4417;39299;yes
reverse_sorted;standard_merge_sort;2700;3851;22826;yes
almost_sorted;standard_merge_sort;2700;4179;36944;yes
same_prefix;standard_merge_sort;2700;13264;423549;yes
random;string_quick_sort;2700;1970;30944;yes
reverse_sorted;string_quick_sort;2700;7294;123312;yes
almost_sorted;string_quick_sort;2700;2409;42026;yes
same_prefix;string_quick_sort;2700;2432;69477;yes
random;string_merge_sort;2700;4415;39299;yes
reverse_sorted;string_merge_sort;2700;3864;22826;yes
almost_sorted;string_merge_sort;2700;4189;36944;yes
same_prefix;string_merge_sort;2700;13544;423549;yes
random;msd_radix_sort;2700;1847;13020;yes
reverse_sorted;msd_radix_sort;2700;1864;13084;yes
almost_sorted;msd_radix_sort;2700;1839;13078;yes
same_prefix;msd_radix_sort;2700;3783;88472;yes
random;msd_radix_quick_sort;2700;1168;19668;yes
reverse_sorted;msd_radix_quick_sort;2700;2814;50195;yes
almost_sorted;msd_radix_quick_sort;2700;1339;22989;yes
same_prefix;msd_radix_quick_sort;2700;3196;94802;yes
random;standard_quick_sort;2800;12598;493003;yes
reverse_sorted;standard_quick_sort;2800;106474;4564228;yes
almost_sorted;standard_quick_sort;2800;11728;458791;yes
same_prefix;standard_quick_sort;2800;28490;1147116;yes
random;standard_merge_sort;2800;4584;40938;yes
reverse_sorted;standard_merge_sort;2800;4003;23700;yes
almost_sorted;standard_merge_sort;2800;4331;38621;yes
same_prefix;standard_merge_sort;2800;13862;440813;yes
random;string_quick_sort;2800;2152;34511;yes
reverse_sorted;string_quick_sort;2800;7761;131038;yes
almost_sorted;string_quick_sort;2800;2617;45471;yes
same_prefix;string_quick_sort;2800;2450;71842;yes
random;string_merge_sort;2800;4604;40938;yes
reverse_sorted;string_merge_sort;2800;4011;23700;yes
almost_sorted;string_merge_sort;2800;4359;38621;yes
same_prefix;string_merge_sort;2800;14115;440813;yes
random;msd_radix_sort;2800;1924;13530;yes
reverse_sorted;msd_radix_sort;2800;1945;13566;yes
almost_sorted;msd_radix_sort;2800;1910;13568;yes
same_prefix;msd_radix_sort;2800;3957;91794;yes
random;msd_radix_quick_sort;2800;1228;20595;yes
reverse_sorted;msd_radix_quick_sort;2800;2924;52172;yes
almost_sorted;msd_radix_quick_sort;2800;1390;23789;yes
same_prefix;msd_radix_quick_sort;2800;3289;98411;yes
random;standard_quick_sort;2900;13788;506636;yes
reverse_sorted;standard_quick_sort;2900;115105;4871392;yes
almost_sorted;standard_quick_sort;2900;12656;511730;yes
same_prefix;standard_quick_sort;2900;29528;1228464;yes
random;standard_merge_sort;2900;4777;42770;yes
reverse_sorted;standard_merge_sort;2900;4150;24689;yes
almost_sorted;standard_merge_sort;2900;4527;40159;yes
same_prefix;standard_merge_sort;2900;15067;459646;yes
random;string_quick_sort;2900;2232;35306;yes
reverse_sorted;string_quick_sort;2900;8405;140740;yes
almost_sorted;string_quick_sort;2900;2800;48308;yes
same_prefix;string_quick_sort;2900;2577;74121;yes
random;string_merge_sort;2900;4767;42770;yes
reverse_sorted;string_merge_sort;2900;4144;24689;yes
almost_sorted;string_merge_sort;2900;4511;40159;yes
same_prefix;string_merge_sort;2900;14831;459646;yes
random;msd_radix_sort;2900;2541;14114;yes
reverse_sorted;msd_radix_sort;2900;2021;14044;yes
almost_sorted;msd_radix_sort;2900;1967;14074;yes
same_prefix;msd_radix_sort;2900;4071;95136;yes
random;msd_radix_quick_sort;2900;1295;21586;yes
reverse_sorted;msd_radix_quick_sort;2900;3045;53931;yes
almost_sorted;msd_radix_quick_sort;2900;1445;24719;yes
same_prefix;msd_radix_quick_sort;2900;3413;102228;yes
random;standard_quick_sort;3000;13953;519115;yes
reverse_sorted;standard_quick_sort;3000;121831;5188267;yes
almost_sorted;standard_quick_sort;3000;18613;745607;yes
same_prefix;standard_quick_sort;3000;29745;1239274;yes
random;standard_merge_sort;3000;4946;44526;yes
reverse_sorted;standard_merge_sort;3000;4304;25871;yes
almost_sorted;standard_merge_sort;3000;4618;41043;yes
same_prefix;standard_merge_sort;3000;14965;476971;yes
random;string_quick_sort;3000;2249;35669;yes
reverse_sorted;string_quick_sort;3000;8904;150276;yes
almost_sorted;string_quick_sort;3000;4505;78635;yes
same_prefix;string_quick_sort;3000;2651;77314;yes
random;string_merge_sort;3000;4925;44526;yes
reverse_sorted;string_merge_sort;3000;4305;25871;yes
almost_sorted;string_merge_sort;3000;4625;41043;yes
same_prefix;string_merge_sort;3000;14884;476971;yes
random;msd_radix_sort;3000;2126;14666;yes
reverse_sorted;msd_radix_sort;3000;2062;14534;yes
almost_sorted;msd_radix_sort;3000;2009;14582;yes
same_prefix;msd_radix_sort;3000;4221;98456;yes
random;msd_radix_quick_sort;3000;1348;22534;yes
reverse_sorted;msd_radix_quick_sort;3000;3127;55983;yes
almost_sorted;msd_radix_quick_sort;3000;1492;25647;yes
same_prefix;msd_radix_quick_sort;3000;3535;106017;yes
